SL1344_v1	EEP	MEP	LEP	ESP	LSP	25C	NaCl	Bile	Low_Fe	NoO2S	NoO2	Oxygen	NonSPI2	InSPI2	Peroxide	NO	Macrophage
SL1344_2523	167.92	234.12	173.96	115.82	14.79	187.96	92.25	282.95	258.33	73.71	133.01	160.82	178.87	127.12	36.63	101.64	105.00
SL1344_2524	27.76	28.40	28.67	27.64	3.96	22.28	8.67	50.99	25.51	12.57	30.92	39.70	33.72	27.43	7.54	32.75	37.70
SL1344_2525	34.37	36.00	34.12	37.41	4.81	36.63	23.77	49.19	30.87	21.10	41.90	42.59	40.35	35.93	16.62	45.01	32.70
SL1344_2526	24.09	20.65	24.98	22.28	6.39	18.64	22.70	39.76	30.59	21.75	28.58	29.41	25.69	20.96	9.55	25.50	37.22
SL1344_ncRNA_162	1837.01	2360.36	2616.35	1422.00	1604.98	1629.81	4211.82	414.26	1255.65	783.25	2472.64	3642.13	4841.20	6386.19	4098.36	1218.59	4134.37
SL1344_2527	11.69	9.92	10.92	65.76	3.25	6.78	5.35	15.80	7.05	5.18	7.43	15.94	72.55	49.49	21.42	4.60	39.95
SL1344_2529	21.37	20.64	18.27	13.11	4.29	23.30	7.66	26.05	11.17	8.42	9.97	15.81	23.31	26.20	3.66	15.22	13.89
SL1344_2530	47.08	38.94	24.36	28.71	6.99	36.46	24.93	49.70	25.19	36.53	22.75	24.28	26.13	26.69	9.78	40.13	72.51
SL1344_2531	17.39	13.82	24.69	43.23	15.84	15.95	40.07	39.31	34.67	35.39	32.61	27.59	23.65	26.33	31.26	43.22	121.89
SL1344_2532	7.83	8.22	12.77	17.84	7.08	6.43	15.54	34.95	24.46	9.98	5.76	5.38	7.43	5.85	4.12	7.87	30.97
SL1344_0248	61.28	47.99	27.79	26.06	7.83	44.38	85.05	81.21	42.06	35.44	20.75	26.67	187.49	45.24	158.91	71.67	43.92
SL1344_2533	8.99	9.61	13.49	17.78	3.51	5.29	15.92	46.00	29.25	9.08	3.51	4.10	6.63	3.89	1.14	2.82	16.43
SL1344_2534	15.14	11.58	5.06	5.62	2.49	9.31	18.17	17.41	6.42	4.15	5.14	5.20	8.28	5.46	4.03	4.40	8.38
SL1344_2535	8.90	7.51	10.16	10.58	4.03	3.67	10.21	10.13	7.15	8.24	10.70	20.60	11.47	4.13	3.51	7.60	9.93
SL1344_2536	5.31	1.09	0.83	1.91	8.41	0.93	1.90	0.83	0.87	0.49	1.08	0.62	1.55	0.72	0.98	1.13	3.48
SL1344_2537	1.18	2.81	4.16	5.84	2.73	0.09	8.13	9.47	8.87	14.77	1.91	1.43	1.81	0.71	0.52	0.63	1.70
SL1344_2538	93.10	75.53	29.40	4.93	2.32	78.59	11.03	66.93	6.03	11.65	12.84	16.33	38.90	58.31	2.67	19.26	157.95
SL1344_2539	45.62	48.77	46.90	45.00	4.44	37.73	13.83	74.51	66.58	56.05	63.63	57.13	53.34	32.61	16.71	33.08	43.47
SL1344_2540	29.69	27.40	25.81	29.45	3.21	26.66	12.75	55.51	35.63	32.48	34.94	33.91	38.48	26.46	13.72	21.95	44.27
SL1344_2541	108.74	103.16	60.67	44.71	5.62	197.65	28.88	119.32	59.05	31.41	39.20	51.55	73.70	59.43	20.67	33.53	67.48
